"FREQ","C1(2)[X=0.00]","C1(2)[X=100m]","C1(2)[X=200m]","C1(2)[X=300m]","C1(2)[X=400m]","C1(2)[X=500m]","C1(2)[X=600m]","C1(2)[X=700m]","C1(2)[X=800m]","C1(2)[X=900m]","C1(2)[X=1.00]"
432132.1321,0.00241333,0.00241333,0.00241333,0.00241333,0.00241333,0.00241333,0.00241333,0.00241333,0.00241333,0.00241333,0.00241333
440040.04,0.00245824,0.00245824,0.00245824,0.00245824,0.00245824,0.00245824,0.00245824,0.00245824,0.00245824,0.00245824,0.00245824
447947.9479,0.00250318,0.00250318,0.00250318,0.00250318,0.00250318,0.00250318,0.00250318,0.00250318,0.00250318,0.00250318,0.00250318
455855.8559,0.00254817,0.00254817,0.00254817,0.00254817,0.00254817,0.00254817,0.00254817,0.00254817,0.00254817,0.00254817,0.00254817
463763.7638,0.00259321,0.00259321,0.00259321,0.00259321,0.00259321,0.00259321,0.00259321,0.00259321,0.00259321,0.00259321,0.00259321
471671.6717,0.00263828,0.00263828,0.00263828,0.00263828,0.00263828,0.00263828,0.00263828,0.00263828,0.00263828,0.00263828,0.00263828
479579.5796,0.0026834,0.0026834,0.0026834,0.0026834,0.0026834,0.0026834,0.0026834,0.0026834,0.0026834,0.0026834,0.0026834
487487.4875,0.00272856,0.00272856,0.00272856,0.00272856,0.00272856,0.00272856,0.00272856,0.00272856,0.00272856,0.00272856,0.00272856
495395.3954,0.00277377,0.00277377,0.00277377,0.00277377,0.00277377,0.00277377,0.00277377,0.00277377,0.00277377,0.00277377,0.00277377
503303.3033,0.00281903,0.00281903,0.00281903,0.00281903,0.00281903,0.00281903,0.00281903,0.00281903,0.00281903,0.00281903,0.00281903
511211.2112,0.00286433,0.00286433,0.00286433,0.00286433,0.00286433,0.00286433,0.00286433,0.00286433,0.00286433,0.00286433,0.00286433
519119.1191,0.00290968,0.00290968,0.00290968,0.00290968,0.00290968,0.00290968,0.00290968,0.00290968,0.00290968,0.00290968,0.00290968
527027.027,0.00295508,0.00295508,0.00295508,0.00295508,0.00295508,0.00295508,0.00295508,0.00295508,0.00295508,0.00295508,0.00295508
534934.9349,0.00300053,0.00300053,0.00300053,0.00300053,0.00300053,0.00300053,0.00300053,0.00300053,0.00300053,0.00300053,0.00300053
542842.8428,0.00304603,0.00304603,0.00304603,0.00304603,0.00304603,0.00304603,0.00304603,0.00304603,0.00304603,0.00304603,0.00304603
550750.7508,0.00309158,0.00309158,0.00309158,0.00309158,0.00309158,0.00309158,0.00309158,0.00309158,0.00309158,0.00309158,0.00309158
558658.6587,0.00313718,0.00313718,0.00313718,0.00313718,0.00313718,0.00313718,0.00313718,0.00313718,0.00313718,0.00313718,0.00313718
566566.5666,0.00318284,0.00318284,0.00318284,0.00318284,0.00318284,0.00318284,0.00318284,0.00318284,0.00318284,0.00318284,0.00318284
