"FREQ","R1(1)[X=0.00]","R1(1)[X=100m]","R1(1)[X=200m]","R1(1)[X=300m]","R1(1)[X=400m]","R1(1)[X=500m]","R1(1)[X=600m]","R1(1)[X=700m]","R1(1)[X=800m]","R1(1)[X=900m]","R1(1)[X=1.00]"
432132.1321,0.00108113,0.00108113,0.00108113,0.00108113,0.00108113,0.00108113,0.00108113,0.00108113,0.00108113,0.00108113,0.00108113
440040.04,0.00110107,0.00110107,0.00110107,0.00110107,0.00110107,0.00110107,0.00110107,0.00110107,0.00110107,0.00110107,0.00110107
447947.9479,0.00112101,0.00112101,0.00112101,0.00112101,0.00112101,0.00112101,0.00112101,0.00112101,0.00112101,0.00112101,0.00112101
455855.8559,0.00114096,0.00114096,0.00114096,0.00114096,0.00114096,0.00114096,0.00114096,0.00114096,0.00114096,0.00114096,0.00114096
463763.7638,0.00116092,0.00116092,0.00116092,0.00116092,0.00116092,0.00116092,0.00116092,0.00116092,0.00116092,0.00116092,0.00116092
471671.6717,0.00118088,0.00118088,0.00118088,0.00118088,0.00118088,0.00118088,0.00118088,0.00118088,0.00118088,0.00118088,0.00118088
479579.5796,0.00120086,0.00120086,0.00120086,0.00120086,0.00120086,0.00120086,0.00120086,0.00120086,0.00120086,0.00120086,0.00120086
487487.4875,0.00122084,0.00122084,0.00122084,0.00122084,0.00122084,0.00122084,0.00122084,0.00122084,0.00122084,0.00122084,0.00122084
495395.3954,0.00124084,0.00124084,0.00124084,0.00124084,0.00124084,0.00124084,0.00124084,0.00124084,0.00124084,0.00124084,0.00124084
503303.3033,0.00126084,0.00126084,0.00126084,0.00126084,0.00126084,0.00126084,0.00126084,0.00126084,0.00126084,0.00126084,0.00126084
511211.2112,0.00128085,0.00128085,0.00128085,0.00128085,0.00128085,0.00128085,0.00128085,0.00128085,0.00128085,0.00128085,0.00128085
519119.1191,0.00130088,0.00130088,0.00130088,0.00130088,0.00130088,0.00130088,0.00130088,0.00130088,0.00130088,0.00130088,0.00130088
527027.027,0.00132091,0.00132091,0.00132091,0.00132091,0.00132091,0.00132091,0.00132091,0.00132091,0.00132091,0.00132091,0.00132091
534934.9349,0.00134095,0.00134095,0.00134095,0.00134095,0.00134095,0.00134095,0.00134095,0.00134095,0.00134095,0.00134095,0.00134095
542842.8428,0.001361,0.001361,0.001361,0.001361,0.001361,0.001361,0.001361,0.001361,0.001361,0.001361,0.001361
550750.7508,0.00138106,0.00138106,0.00138106,0.00138106,0.00138106,0.00138106,0.00138106,0.00138106,0.00138106,0.00138106,0.00138106
558658.6587,0.00140113,0.00140113,0.00140113,0.00140113,0.00140113,0.00140113,0.00140113,0.00140113,0.00140113,0.00140113,0.00140113
566566.5666,0.00142122,0.00142122,0.00142122,0.00142122,0.00142122,0.00142122,0.00142122,0.00142122,0.00142122,0.00142122,0.00142122
